연도,분기,분기별 누적 순이익 (단위: 천원),이전 분기 대비 증가,증가율
2014,4분기,4414000,4414000,0
2015,1분기,37095677,32681677,840%
2015,2분기,32930656,-4165021,89%
2015,3분기,23744046,-9186610,72%
2015,4분기,2650912,-21093134,11%
2016,1분기,25251755,22600843,953%
2016,2분기,669450,-24582305,3%
2016,3분기,7748564,7079114,1157%
2016,4분기,-3091622,-10840186,-40%
2017,1분기,31467655,34559277,-1018%
2017,2분기,7520735,-23946920,24%
2017,3분기,27142372,19621637,361%
2017,4분기,-4718842,-31861214,-17%
2018,1분기,59616952,64335794,-1263%
2018,2분기,43341501,-16275451,73%
2018,3분기,21363917,-21977584,49%
2018,4분기,-9513491,-30877408,-45%
2019,1분기,51964995,61478486,-546%
2019,2분기,25203094,-26761901,49%
2019,3분기,8726839,-16476255,35%
2019,4분기,2033720,-6693119,23%
2020,1분기,43113844,41080124,2120%
2020,2분기,144636,-42969208,0%
2020,3분기,60355438,60210802,41729%
2020,4분기,66750195,6394757,111%
2021,1분기,"81,458,123",14707928,122%
2021,2분기,19862361,-61595762,24%
2021,3분기,49256463,29394102,248%
2021,4분기,28080547,-21175916,57%
2022,1분기,68938025,40857478,246%
2022,2분기,-10463530,-79401555,-15%
2022,3분기,10127108,20590638,-97%
2022,4분기,17872633,7745525,176%
2023,1분기,59459519,41586886,333%
